"","mpg","cylinders","disp","hp","wt","accl","model_yr","origin","manuc"
"71",13,"8",400,190,4422,12.5,72,1,"chrysler"
"95",13,"8",440,215,4735,11,73,1,"chrysler"
"328",36.4,"5",121,67,2950,19.9,80,2,"audi"
"314",28,"4",151,90,2678,16.5,80,1,"chevrolet"
"253",19.2,"6",231,105,3535,19.2,78,1,"pontiac"
"103",26,"4",97,46,1950,21,73,2,"volkswagen"
"163",15,"6",258,110,3730,19,75,1,"amc"
"217",31.5,"4",98,68,2045,18.5,77,3,"honda"
"250",19.9,"8",260,110,3365,15.5,78,1,"oldsmobile"
"192",22,"6",225,100,3233,15.4,76,1,"plymouth"
"377",37,"4",91,68,2025,18.2,82,3,"mazda"
"200",20,"6",225,100,3651,17.7,76,1,"dodge"
"246",36.1,"4",98,66,1800,14.4,78,1,"ford"
"133",25,"4",140,75,2542,17,74,1,"chevrolet"
"134",16,"6",250,100,3781,17,74,1,"chevrolet"
"12",14,"8",340,160,3609,8,70,1,"plymouth"
"29",9,"8",304,193,4732,18.5,70,1,"hi"
"172",24,"4",134,96,2702,13.5,75,3,"toyota"
"386",38,"4",91,67,1995,16.2,82,3,"datsun"
"384",38,"4",91,67,1965,15,82,3,"honda"
"196",29,"4",85,52,2035,22.2,76,1,"chevrolet"
"18",21,"6",200,85,2587,16,70,1,"ford"
"50",23,"4",122,86,2220,14,71,1,"mercury"
"257",20.5,"6",225,100,3430,17.2,78,1,"plymouth"
"281",21.5,"6",231,115,3245,15.4,79,1,"pontiac"
"140",14,"8",302,140,4638,16,74,1,"ford"
"227",20.5,"6",231,105,3425,16.9,77,1,"buick"
"19",27,"4",97,88,2130,14.5,70,3,"datsun"
"138",13,"8",350,150,4699,14.5,74,1,"buick"
"99",16,"6",250,100,3278,18,73,1,"chevrolet"
"117",16,"8",400,230,4278,9.5,73,1,"pontiac"
"188",17.5,"8",305,140,4215,13,76,1,"chevrolet"
"299",23,"8",350,125,3900,17.4,79,1,"cadillac"
"38",18,"6",232,100,3288,15.5,71,1,"amc"
"94",14,"8",318,150,4237,14.5,73,1,"plymouth"
"122",15,"8",318,150,3399,11,73,1,"dodge"
"380",36,"4",98,70,2125,17.3,82,1,"mercury"
"396",32,"4",135,84,2295,11.6,82,1,"dodge"
"295",34.1,"4",86,65,1975,15.2,79,3,"mazda"
"128",19,"6",232,100,2901,16,74,1,"amc"
"270",30.9,"4",105,75,2230,14.5,78,1,"dodge"
"279",31.5,"4",89,71,1990,14.9,78,2,"volkswagen"
"31",28,"4",140,90,2264,15.5,71,1,"chevrolet"
"366",20.2,"6",200,88,3060,17.1,81,1,"ford"
"394",27,"4",140,86,2790,15.6,82,1,"ford"
"349",37.7,"4",89,62,2050,17.3,81,3,"toyota"
"176",29,"4",90,70,1937,14,75,2,"volkswagen"
"263",19.2,"8",305,145,3425,13.2,78,1,"chevrolet"
"271",21.1,"4",134,95,2515,14.8,78,3,"toyota"
"82",28,"4",97,92,2288,17,72,3,"datsun"
"202",18.5,"6",250,110,3645,16.2,76,1,"pontiac"
"254",20.5,"6",200,95,3155,18.2,78,1,"chevrolet"
"269",27.2,"4",119,97,2300,14.7,78,3,"datsun"
"364",22.4,"6",231,110,3415,15.8,81,1,"buick"
"225",15,"8",302,130,4295,14.9,77,1,"mercury"
"335",23.7,"3",70,100,2420,12.5,80,3,"mazda"
"392",36,"4",135,84,2370,13,82,1,"dodge"
"169",23,"4",140,83,2639,17,75,1,"ford"
"24",26,"4",121,113,2234,12.5,70,2,"bmw"
"363",24.2,"6",146,120,2930,13.8,81,3,"datsun"
"340",26.6,"4",151,84,2635,16.4,81,1,"buick"
"186",26,"4",98,79,2255,17.7,76,1,"dodge"
"35",16,"6",225,105,3439,15.5,71,1,"plymouth"
"326",44.3,"4",90,48,2085,21.7,80,2,"volkswagen"
"158",15,"8",350,145,4440,14,75,1,"chevrolet"
"287",17.6,"8",302,129,3725,13.4,79,1,"ford"
"135",16,"6",258,110,3632,18,74,1,"amc"
"301",23.9,"8",260,90,3420,22.2,79,1,"oldsmobile"
"146",32,"4",83,61,2003,19,74,3,"datsun"
"251",19.4,"8",318,140,3735,13.2,78,1,"dodge"
"109",20,"4",97,88,2279,19,73,3,"toyota"
"291",15.5,"8",351,142,4054,14.3,79,1,"ford"
"224",15.5,"8",318,145,4140,13.7,77,1,"dodge"
"112",18,"3",70,90,2124,13.5,73,3,"mazda"
"90",15,"8",318,150,3777,12.5,73,1,"dodge"
"358",32.9,"4",119,100,2615,14.8,81,3,"datsun"
"348",37,"4",85,65,1975,19.4,81,3,"datsun"
"37",19,"6",250,88,3302,15.5,71,1,"ford"
"132",32,"4",71,65,1836,21,74,3,"toyota"
"168",29,"4",97,75,2171,16,75,3,"toyota"
"9",14,"8",455,225,4425,10,70,1,"pontiac"
"260",20.8,"6",200,85,3070,16.7,78,1,"mercury"
"296",35.7,"4",98,80,1915,14.4,79,1,"dodge"
"59",25,"4",97.5,80,2126,17,72,1,"dodge"
"98",18,"6",225,105,3121,16.5,73,1,"plymouth"
"331",40.9,"4",85,93.5,1835,17.3,80,2,"renault"
"352",34.4,"4",98,65,2045,16.2,81,1,"ford"
"197",24.5,"4",98,60,2164,22.1,76,1,"chevrolet"
"371",31,"4",112,85,2575,16.2,82,1,"pontiac"
"280",29.5,"4",98,68,2135,16.6,78,3,"honda"
"93",13,"8",351,158,4363,13,73,1,"ford"
"282",19.8,"6",200,85,2990,18.2,79,1,"mercury"
"393",27,"4",151,90,2950,17.3,82,1,"chevrolet"
"277",21.6,"4",121,115,2795,15.7,78,2,"saab"
"116",15,"8",350,145,4082,13,73,1,"chevrolet"
"294",31.9,"4",89,71,1925,14,79,2,"volkswagen"
"187",27,"4",101,83,2202,15.3,76,2,"renault"
"7",14,"8",454,220,4354,9,70,1,"chevrolet"
"211",19,"6",156,108,2930,15.5,76,3,"toyota"
"177",19,"6",232,90,3211,17,75,1,"amc"
"20",26,"4",97,46,1835,20.5,70,2,"volkswagen"
"389",26,"4",156,92,2585,14.5,82,1,"chrysler"
"165",21,"6",231,110,3039,15,75,1,"buick"
"266",17.5,"8",318,140,4080,13.7,78,1,"dodge"
"152",31,"4",79,67,2000,16,74,2,"fiat"
"184",25,"4",116,81,2220,16.9,76,2,"opel"
"139",14,"8",318,150,4457,13.5,74,1,"dodge"
"262",18.1,"6",258,120,3410,15.1,78,1,"amc"
"5",17,"8",302,140,3449,10.5,70,1,"ford"
"240",30,"4",97,67,1985,16.4,77,3,"subaru"
"286",17,"8",305,130,3840,15.4,79,1,"chevrolet"
"70",12,"8",350,160,4456,13.5,72,1,"oldsmobile"
"180",22,"4",121,98,2945,14.5,75,2,"volvo"
"220",25.5,"4",122,96,2300,15.5,77,1,"plymouth"
"265",18.1,"8",302,139,3205,11.2,78,1,"ford"
"303",34.5,"4",105,70,2150,14.9,79,1,"plymouth"
"42",14,"8",318,150,4096,13,71,1,"plymouth"
"284",20.2,"6",232,90,3265,18.2,79,1,"amc"
"190",15.5,"8",304,120,3962,13.9,76,1,"amc"
"264",17.7,"6",231,165,3445,13.4,78,1,"buick"
"199",33,"4",91,53,1795,17.4,76,3,"honda"
"61",20,"4",140,90,2408,19.5,72,1,"chevrolet"
"315",26.4,"4",140,88,2870,18.1,80,1,"ford"
"230",16,"8",400,180,4220,11.1,77,1,"pontiac"
"387",25,"6",181,110,2945,16.4,82,1,"buick"
"173",25,"4",90,71,2223,16.5,75,2,"volkswagen"
"142",29,"4",98,83,2219,16.5,74,2,"audi"
"85",27,"4",97,88,2100,16.5,72,3,"toyota"
"15",24,"4",113,95,2372,15,70,3,"toyota"
"321",37,"4",119,92,2434,15,80,3,"datsun"
"1",18,"8",307,130,3504,12,70,1,"chevrolet"
"255",20.2,"6",200,85,2965,15.8,78,1,"ford"
"10",15,"8",390,190,3850,8.5,70,1,"amc"
"83",23,"4",120,97,2506,14.5,72,3,"toyota"
"164",18,"6",225,95,3785,19,75,1,"plymouth"
"81",22,"4",122,86,2395,16,72,1,"ford"
"60",23,"4",97,54,2254,23.5,72,2,"volkswagen"
"72",19,"3",70,97,2330,13.5,72,3,"mazda"
"336",35,"4",122,88,2500,15.1,80,2,"triumph"
"108",18,"6",232,100,2789,15,73,1,"amc"
"17",18,"6",199,97,2774,15.5,70,1,"amc"
"45",13,"8",400,175,5140,12,71,1,"pontiac"
"106",13,"8",360,170,4654,13,73,1,"plymouth"
"385",32,"4",91,67,1965,15.7,82,3,"honda"
"153",19,"6",225,95,3264,16,75,1,"plymouth"
"76",14,"8",318,150,4077,14,72,1,"plymouth"
"293",18.5,"8",360,150,3940,13,79,1,"chrysler"
"368",28,"4",112,88,2605,19.6,82,1,"chevrolet"
"354",33,"4",105,74,2190,14.2,81,2,"volkswagen"
"58",24,"4",113,95,2278,15.5,72,3,"toyota"
"221",33.5,"4",85,70,1945,16.8,77,3,"datsun"
"120",20,"4",114,91,2582,14,73,2,"audi"
"306",28.4,"4",151,90,2670,16,79,1,"buick"
"353",29.9,"4",98,65,2380,20.7,81,1,"ford"
"249",36.1,"4",91,60,1800,16.4,78,3,"honda"
"359",31.6,"4",120,74,2635,18.3,81,3,"mazda"
"43",12,"8",383,180,4955,11.5,71,1,"dodge"
"357",32.4,"4",108,75,2350,16.8,81,3,"toyota"
"234",29,"4",97,78,1940,14.5,77,2,"volkswagen"
"148",24,"4",90,75,2108,15.5,74,2,"fiat"
"222",17.5,"8",305,145,3880,12.5,77,1,"chevrolet"
"207",26.5,"4",140,72,2565,13.6,76,1,"ford"
"62",21,"4",122,86,2226,16.5,72,1,"ford"
"14",14,"8",455,225,3086,10,70,1,"buick"
"302",34.2,"4",105,70,2200,13.2,79,1,"plymouth"
"283",22.3,"4",140,88,2890,17.3,79,1,"ford"
"118",29,"4",68,49,1867,19.5,73,2,"fiat"
"330",44.6,"4",91,67,1850,13.8,80,3,"honda"
"206",28,"4",97,75,2155,16.4,76,3,"toyota"
"307",28.8,"6",173,115,2595,11.3,79,1,"chevrolet"
"150",24,"4",120,97,2489,15,74,3,"honda"
"273",23.8,"4",151,85,2855,17.6,78,1,"oldsmobile"
"274",23.9,"4",119,97,2405,14.9,78,3,"datsun"
"369",27,"4",112,88,2640,18.6,82,1,"chevrolet"
"8",14,"8",440,215,4312,8.5,70,1,"plymouth"
